City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Ambikapur,IN,72.19,overcast clouds,23.12,83.2,
389,Nalut,LY,76.19,clear sky,30.33,10.85,
391,Olinda,BR,74.93,few clouds,-8.01,-34.86,
392,Jurm,AF,76.59,clear sky,36.86,70.83,
394,Podgorica,ME,73.18,clear sky,42.44,19.26,
395,Kangasala,FI,63.14,broken clouds,61.46,24.08,
396,Zhezkazgan,KZ,70.2,clear sky,47.8,67.71,
398,Wencheng,CN,81.09,light rain,33.06,113.8,
399,Paulo Afonso,BR,66.18,few clouds,-9.41,-38.21,
400,Jos,NG,61.48,overcast clouds,9.92,8.9,
401,Broome,US,67.55,mist,42.25,-75.83,
405,Ciudad Guayana,VE,78.53,overcast clouds,8.35,-62.65,
406,Rio Grande City,US,86.11,scattered clouds,26.38,-98.82,
407,Bayanday,RU,77.63,clear sky,53.07,105.51,
408,Atlantic City,US,78.31,clear sky,39.36,-74.42,
410,Pangoa,PE,67.71,scattered clouds,-12.12,-73.0,
412,Atar,MR,86.11,few clouds,20.52,-13.05,
413,Ventspils,LV,69.73,scattered clouds,57.39,21.56,
414,Mapastepec,MX,77.05,broken clouds,15.43,-92.9,
415,Freeport,US,79.05,broken clouds,40.66,-73.58,
416,Qui Nhon,VN,89.8,overcast clouds,13.77,109.23,
419,Baltimore,US,81.57,clear sky,39.29,-76.61,
420,Bengkulu,ID,82.89,broken clouds,-3.8,102.27,
421,Phuket,TH,87.1,broken clouds,8.0,98.25,
422,Buta,CD,70.57,overcast clouds,2.79,24.73,
423,Batticaloa,LK,84.61,overcast clouds,7.71,81.69,
424,Vangaindrano,MG,64.17,light rain,-23.35,47.6,
425,Wapakoneta,US,75.42,clear sky,40.57,-84.19,
426,Mayo,US,81.12,clear sky,38.89,-76.51,
427,Botwood,CA,67.89,broken clouds,49.15,-55.35,
430,Alta Floresta,BR,72.03,clear sky,-9.88,-56.09,
431,Cockburn Town,TC,81.61,few clouds,21.46,-71.14,
432,Tiznit,MA,69.24,clear sky,29.58,-9.5,
433,Bongandanga,CD,67.91,scattered clouds,1.5,21.05,
435,Oda,JP,81.41,scattered clouds,35.18,132.5,
437,Zubtsov,RU,62.55,broken clouds,56.18,34.59,
438,Matara,LK,81.45,overcast clouds,5.95,80.54,
439,Abu Zabad,SD,73.0,light rain,12.35,29.25,
441,Kulhudhuffushi,MV,82.0,scattered clouds,6.62,73.07,
443,Theog,IN,63.46,moderate rain,31.12,77.35,
444,Kumta,IN,79.95,overcast clouds,14.42,74.4,
445,Karratha,AU,76.75,clear sky,-20.74,116.85,
448,Buraydah,SA,89.83,few clouds,26.33,43.98,
449,Bathsheba,BB,81.21,few clouds,13.22,-59.52,
450,Belmonte,BR,70.3,clear sky,-15.86,-38.88,
451,Union City,US,81.75,clear sky,37.6,-122.02,
452,Naze,JP,79.09,broken clouds,28.37,129.48,
454,Lorengau,PG,84.58,clear sky,-2.02,147.27,
455,Komsomolskiy,UZ,83.12,clear sky,40.43,71.72,
456,Timra,SE,63.68,scattered clouds,62.49,17.33,
457,Solnechnyy,RU,83.64,scattered clouds,50.72,136.63,
458,Tambacounda,SN,79.3,overcast clouds,13.75,-13.76,
459,Valentin Gomez Farias,MX,76.87,few clouds,28.22,-106.58,
460,Aykhal,RU,85.05,scattered clouds,66.0,111.5,
461,Lake Charles,US,78.78,clear sky,30.21,-93.2,
462,Isangel,VU,74.55,clear sky,-19.55,169.27,
463,Nicoya,CR,72.95,overcast clouds,10.15,-85.45,
464,Linxia,CN,70.77,clear sky,35.6,103.21,
465,Alexandria,EG,78.89,clear sky,31.22,29.96,
466,Adrar,MR,85.05,overcast clouds,20.5,-10.07,
467,Trinidad,BO,64.22,broken clouds,-14.83,-64.9,
468,Buchanan,LR,76.08,overcast clouds,5.88,-10.05,
469,Booue,GA,69.28,scattered clouds,-0.09,11.94,
470,Santa Elena,EC,70.79,overcast clouds,-2.23,-80.85,
471,Ostersund,SE,60.62,scattered clouds,63.18,14.64,
474,Plouzane,FR,60.85,broken clouds,48.38,-4.62,
475,Jalingo,NG,70.27,overcast clouds,8.88,11.37,
476,Shetpe,KZ,74.59,overcast clouds,44.17,52.12,
477,Dongsheng,CN,75.29,overcast clouds,39.82,109.98,
479,Hailar,CN,75.07,broken clouds,49.2,119.7,
480,Tonekabon,IR,80.11,broken clouds,36.82,50.87,
482,Penzance,GB,60.01,clear sky,50.12,-5.54,
483,Nemuro,JP,67.8,few clouds,43.32,145.57,
484,Sault Sainte Marie,CA,64.96,haze,46.52,-84.33,
485,Hualmay,PE,63.84,scattered clouds,-11.1,-77.61,
487,Andros Town,BS,82.36,overcast clouds,24.7,-77.77,
489,Diveyevo,RU,61.63,overcast clouds,55.04,43.24,
491,Port Macquarie,AU,79.9,clear sky,-31.43,152.92,
492,Yambio,SS,66.45,overcast clouds,4.57,28.4,
493,Hambantota,LK,83.48,overcast clouds,6.12,81.12,
494,Ishigaki,JP,83.5,overcast clouds,24.34,124.16,
495,Minsk,BY,64.15,overcast clouds,53.9,27.57,
496,Ravar,IR,80.78,clear sky,31.27,56.81,
499,Samarai,PG,79.39,moderate rain,-10.62,150.67,
501,Poum,NC,72.55,clear sky,-20.23,164.02,
502,Port Hardy,CA,61.7,broken clouds,50.7,-127.42,
503,Makakilo City,US,86.32,scattered clouds,21.35,-158.09,
505,Sobolevo,RU,62.71,overcast clouds,54.43,31.9,
506,Zhigansk,RU,64.27,broken clouds,66.77,123.37,
507,Yatou,CN,85.46,light rain,37.15,122.38,
508,Juneau,US,61.21,light rain,58.3,-134.42,
509,Kawalu,ID,78.82,broken clouds,-7.38,108.21,
512,Northam,GB,61.66,few clouds,51.03,-4.22,
513,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.07,
515,Majene,ID,83.61,overcast clouds,-3.54,118.97,
516,Peniche,PT,66.72,clear sky,39.36,-9.38,
