City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Shubarkuduk,KZ,2021-07-27 00:48:48,49.1447,56.4872,61.84,40,0,8.84
121,Newport,GB,2021-07-27 00:48:48,51.5877,-2.9984,66.07,86,100,6.11
122,Kodiak,US,2021-07-27 00:48:48,57.79,-152.4072,62.11,63,90,5.75
123,Cidreira,BR,2021-07-27 00:48:50,-30.1811,-50.2056,62.13,98,100,10.87
124,Khatanga,RU,2021-07-27 00:48:50,71.9667,102.5,67.35,57,100,18.77
125,Tuktoyaktuk,CA,2021-07-27 00:48:50,69.4541,-133.0374,51.8,66,75,0.0
126,Martapura,ID,2021-07-27 00:48:51,-3.4167,114.85,80.69,78,11,3.44
127,Panama City,PA,2021-07-27 00:46:34,8.9936,-79.5197,81.05,86,40,2.3
128,Klaksvik,FO,2021-07-27 00:48:51,62.2266,-6.589,50.92,99,100,4.32
129,Lint,BE,2021-07-27 00:48:52,51.1278,4.4983,63.99,94,24,4.61
130,Amga,RU,2021-07-27 00:48:52,60.8953,131.9608,82.67,46,7,10.25
131,Naryan-Mar,RU,2021-07-27 00:48:53,67.6713,53.087,44.47,92,100,8.34
132,Conde,BR,2021-07-27 00:48:53,-7.2597,-34.9075,74.66,88,40,3.44
133,Norrtalje,SE,2021-07-27 00:48:54,59.758,18.705,68.85,86,100,5.37
134,Managua,NI,2021-07-27 00:48:54,12.1328,-86.2504,85.44,70,40,7.4
135,Fontainebleau,FR,2021-07-27 00:48:55,48.4044,2.6903,65.66,86,100,5.53
136,Pasni,PK,2021-07-27 00:44:06,25.2631,63.471,81.54,86,100,6.04
137,Faanui,PF,2021-07-27 00:48:55,-16.4833,-151.75,78.91,74,63,9.64
138,Verkhnyaya Tishanka,RU,2021-07-27 00:48:56,51.3239,40.5328,62.58,51,0,4.07
139,Rawson,AR,2021-07-27 00:48:56,-43.3002,-65.1023,40.37,76,62,28.1
140,College,US,2021-07-27 00:48:57,64.8569,-147.8028,72.0,47,75,12.66
141,Kloulklubed,PW,2021-07-27 00:48:57,7.0419,134.2556,84.7,79,100,17.52
142,Fortuna,US,2021-07-27 00:44:23,40.5982,-124.1573,87.19,85,20,14.97
143,Wanning,CN,2021-07-27 00:48:58,18.8003,110.3967,86.34,70,18,7.76
144,Sabha,LY,2021-07-27 00:48:58,27.0377,14.4283,82.53,25,2,14.52
145,Lebu,CL,2021-07-27 00:48:59,-37.6167,-73.65,46.0,76,60,16.2
146,Itarema,BR,2021-07-27 00:48:59,-2.9248,-39.9167,78.55,81,4,16.53
147,Avarua,CK,2021-07-27 00:49:00,-21.2078,-159.775,78.85,73,20,9.22
148,Saint-Philippe,RE,2021-07-27 00:49:00,-21.3585,55.7679,63.99,83,67,11.18
149,Sitka,US,2021-07-27 00:46:12,57.0531,-135.33,62.49,67,40,4.61
150,Fairbanks,US,2021-07-27 00:44:47,64.8378,-147.7164,72.01,46,20,3.0
151,Svetlaya,RU,2021-07-27 00:49:01,46.5389,138.3297,75.79,78,98,5.79
152,Aklavik,CA,2021-07-27 00:49:01,68.2191,-135.0107,63.32,84,100,3.91
153,Mitsamiouli,KM,2021-07-27 00:49:01,-11.3847,43.2844,75.34,67,17,7.09
154,Escanaba,US,2021-07-27 00:49:02,45.7453,-87.0646,80.2,79,1,10.36
155,Torbay,CA,2021-07-27 00:49:02,47.6666,-52.7314,59.77,87,90,11.5
156,Salina Cruz,MX,2021-07-27 00:49:03,16.1667,-95.2,84.13,72,97,11.54
157,San Patricio,US,2021-07-27 00:49:03,28.017,-97.5169,90.32,57,5,10.07
158,Hun,LY,2021-07-27 00:49:03,29.1268,15.9477,76.15,47,0,10.71
159,Kaeo,NZ,2021-07-27 00:49:04,-35.1,173.7833,62.33,69,1,13.47
160,Lavrentiya,RU,2021-07-27 00:49:04,65.5833,-171.0,45.0,98,100,3.76
161,Sobolevo,RU,2021-07-27 00:49:05,54.4299,31.8996,62.02,80,11,6.11
