City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Vardo,NO,70.3705,31.1107,46.6,86,97,13.94,overcast clouds
116,Zaysan,KZ,47.4667,84.8667,71.2,30,0,8.99,clear sky
117,Shahi,IN,28.55,79.3167,83.28,81,99,10.38,overcast clouds
118,Kutum,SD,14.2,24.6667,68.67,81,100,6.73,overcast clouds
119,Nikolskoye,RU,59.7035,30.7861,67.8,68,100,4.79,overcast clouds
120,Kapaa,US,22.0752,-159.319,82.72,77,40,3.0,light rain
121,Puerto Ayora,EC,-0.7393,-90.3518,71.38,84,20,8.84,few clouds
122,Leningradskiy,RU,69.3833,178.4167,33.73,98,100,9.98,light rain
123,Nouadhibou,MR,20.931,-17.0347,68.13,91,16,24.61,few clouds
124,La Ronge,CA,55.1001,-105.2842,64.62,77,40,10.36,scattered clouds
125,Constitucion,CL,-35.3333,-72.4167,44.65,78,0,7.23,clear sky
126,Vila,PT,42.0304,-8.1588,52.74,84,5,5.06,clear sky
127,Port Blair,IN,11.6667,92.75,83.05,82,100,19.69,overcast clouds
128,Jibuti,DJ,11.5,42.5,85.42,58,74,4.45,broken clouds
129,Palmer,US,42.1584,-72.3287,67.48,86,75,0.0,broken clouds
130,Bilma,NE,18.6853,12.9164,86.54,48,98,7.18,overcast clouds
131,Alice Springs,AU,-23.7,133.8833,74.75,21,90,11.99,overcast clouds
132,East London,ZA,-33.0153,27.9116,63.9,80,0,12.73,clear sky
133,Mizdah,LY,31.4451,12.9801,66.67,84,0,7.65,clear sky
134,Lakselv,NO,70.0513,24.9718,51.75,93,90,9.22,overcast clouds
135,Lagoa,PT,39.05,-27.9833,69.8,91,90,7.43,overcast clouds
136,Kamaishi,JP,39.2667,141.8833,74.35,93,100,17.07,overcast clouds
137,Vicuna,CL,-30.0319,-70.7081,40.73,11,0,1.7,clear sky
138,Soe,ID,-9.8607,124.284,82.63,34,60,10.11,broken clouds
139,Asau,RO,46.4333,26.4,72.95,67,12,6.04,few clouds
140,Grand Gaube,MU,-20.0064,57.6608,68.4,91,95,11.99,heavy intensity rain
141,Chuy,UY,-33.6971,-53.4616,43.18,73,49,16.15,scattered clouds
142,The Valley,AI,18.217,-63.0578,81.82,76,1,19.33,clear sky
143,Severo-Kurilsk,RU,50.6789,156.125,59.94,88,100,6.98,overcast clouds
144,Port Shepstone,ZA,-30.7414,30.455,59.86,27,0,6.85,clear sky
145,Touros,BR,-5.1989,-35.4608,74.3,89,13,10.78,few clouds
146,Cape Town,ZA,-33.9258,18.4232,52.12,87,20,3.44,few clouds
147,Provideniya,RU,64.3833,-173.3,50.11,81,90,22.37,moderate rain
148,Manavalakurichi,IN,8.1333,77.3,80.69,80,100,14.83,overcast clouds
149,Plettenberg Bay,ZA,-34.0527,23.3716,55.78,83,100,10.13,light rain
150,Bandarbeyla,SO,9.4942,50.8122,79.11,54,46,26.31,scattered clouds
151,Awallan,PH,17.9244,121.913,84.18,73,100,3.11,light rain
152,Opuwo,NA,-18.0607,13.84,53.64,35,0,6.38,clear sky
153,Khatanga,RU,71.9667,102.5,85.77,39,8,18.66,clear sky
154,Jardim,BR,-21.4803,-56.1381,57.06,35,96,8.19,overcast clouds
155,Alofi,NU,-19.0595,-169.9187,75.09,88,75,5.75,light rain
156,Jagadhri,IN,30.1667,77.3,78.42,92,100,5.48,moderate rain
157,Harlingen,US,26.1906,-97.6961,86.34,91,1,5.75,clear sky
158,Tasiilaq,GL,65.6145,-37.6368,37.56,79,22,7.31,few clouds
159,Lahijan,IR,37.2061,50.0029,77.54,80,97,6.02,overcast clouds
160,Shubarkuduk,KZ,49.1447,56.4872,71.53,33,100,11.92,overcast clouds
161,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,14.97,moderate rain
162,Kraskino,RU,42.7114,130.7794,83.14,63,38,6.73,scattered clouds
163,Santiago Del Estero,AR,-27.7951,-64.2615,48.2,38,6,3.15,clear sky
164,Abu Samrah,SY,35.3029,37.1841,76.6,48,0,9.26,clear sky
165,Ancud,CL,-41.8697,-73.8203,42.33,86,71,3.51,broken clouds
166,Eatonton,US,33.3268,-83.3885,78.39,92,93,4.03,overcast clouds
167,Aranos,NA,-24.1333,19.1167,46.2,43,0,13.15,clear sky
168,Sulangan,PH,11.1373,123.7228,84.99,71,90,12.15,overcast clouds
169,Pevek,RU,69.7008,170.3133,38.44,86,97,9.69,overcast clouds
170,Kijang,KR,35.2442,129.2139,81.43,79,28,10.0,scattered clouds
171,Faanui,PF,-16.4833,-151.75,77.81,75,63,8.3,light rain
172,Half Moon Bay,US,37.4636,-122.4286,79.32,73,20,17.27,few clouds
173,Norman Wells,CA,65.282,-126.8329,64.44,72,75,3.44,broken clouds
174,Chapais,CA,49.7834,-74.8492,50.9,64,82,4.0,broken clouds
175,Sorland,NO,67.667,12.6934,55.63,88,8,10.27,clear sky
176,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,58.82,34,100,3.2,overcast clouds
177,La Plaine,DM,15.3333,-61.25,78.44,81,53,10.96,broken clouds
178,Mezen,RU,65.8522,44.24,44.04,86,96,4.18,overcast clouds
179,Roscommon,IE,53.6333,-8.1833,58.12,95,92,4.68,moderate rain
180,Ahipara,NZ,-35.1667,173.1667,59.94,78,64,8.28,broken clouds
181,Diamantino,BR,-14.4086,-56.4461,73.38,57,89,10.96,overcast clouds
182,Bethel,US,41.3712,-73.414,75.11,86,90,0.0,light rain
183,Cortes,ES,41.9395,-1.4396,69.6,69,58,15.03,broken clouds
184,Nurota,UZ,40.5614,65.6886,78.89,22,0,18.41,clear sky
185,Cravo Norte,CO,6.3017,-70.2041,76.78,84,19,1.72,few clouds
186,Hanzhong,CN,33.0728,107.0303,81.45,64,25,1.83,scattered clouds
187,Narsaq,GL,60.9167,-46.05,44.82,73,100,3.94,overcast clouds
188,Georgiyevka,KZ,43.0369,74.7114,71.64,40,0,6.71,clear sky
189,Lebu,CL,-37.6167,-73.65,45.07,81,0,19.69,clear sky
190,San Vicente,AR,-26.6167,-54.1333,35.2,62,0,3.71,clear sky
191,Salekhard,RU,66.53,66.6019,46.51,96,100,13.18,light rain
192,Nombre De Dios,MX,23.85,-104.2333,73.81,60,77,8.21,broken clouds
193,Mkushi,ZM,-13.6202,29.3939,46.53,67,82,5.82,broken clouds
194,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,78.12,40,30,1.1,scattered clouds
195,Xining,CN,36.6167,101.7667,65.73,47,41,3.33,scattered clouds
196,Fortuna,US,40.5982,-124.1573,75.47,92,90,4.61,overcast clouds
197,Batemans Bay,AU,-35.7167,150.1833,69.1,42,90,14.05,overcast clouds
198,Chivay,PE,-15.6383,-71.6011,41.34,54,31,4.34,scattered clouds
199,Nueve De Julio,AR,-35.4444,-60.8831,41.72,57,45,13.29,scattered clouds
200,Nanortalik,GL,60.1432,-45.2371,43.97,84,100,3.96,overcast clouds
201,Jacksonville,US,30.3322,-81.6556,79.05,91,1,3.44,mist
202,Vung Tau,VN,10.346,107.0843,85.48,70,48,16.6,scattered clouds
203,Abnub,EG,27.2696,31.1511,78.93,42,0,10.0,clear sky
204,Khasan,RU,42.4308,130.6434,82.51,67,44,6.93,scattered clouds
205,Katobu,ID,-4.9408,122.5276,84.07,69,74,6.76,broken clouds
206,Jimma,ET,7.6667,36.8333,59.45,98,100,1.66,light rain
207,Uvinza,TZ,-5.1036,30.3911,62.78,49,34,3.65,scattered clouds
208,Tessalit,ML,20.1986,1.0114,85.42,46,67,10.18,broken clouds
209,Neiafu,TO,-18.65,-173.9833,70.48,94,90,0.0,light rain
210,Namibe,AO,-15.1961,12.1522,64.45,83,0,5.68,clear sky
211,Yar-Sale,RU,66.8333,70.8333,50.65,63,100,12.37,overcast clouds
212,College,US,64.8569,-147.8028,59.58,91,90,3.44,light rain
213,Olga,RU,43.7444,135.2892,83.39,55,2,7.11,clear sky
214,Tetiyiv,UA,49.3767,29.6647,64.72,82,99,6.49,overcast clouds
215,Sur,OM,22.5667,59.5289,98.01,39,100,23.82,overcast clouds
216,Rawson,AR,-43.3002,-65.1023,41.25,67,23,11.23,few clouds
217,Port Charlotte,US,26.9762,-82.0906,84.25,84,1,4.0,clear sky
218,Baiyin,CN,36.5583,104.2081,76.82,34,10,10.33,clear sky
219,Grandview,US,38.8858,-94.533,82.35,79,1,0.0,clear sky
220,Saint-Augustin,CA,51.226,-58.6502,60.49,98,100,6.73,overcast clouds
221,Vancouver,CA,49.2497,-123.1193,75.09,56,3,2.01,clear sky
222,Turkistan,KZ,43.0,68.0,84.04,19,0,13.11,clear sky
223,Pacific Grove,US,36.6177,-121.9166,76.24,85,40,1.99,scattered clouds
224,Lasa,IT,46.6166,10.7002,61.54,94,66,2.8,broken clouds
225,Genc,TR,38.7507,40.5603,67.42,62,1,8.63,clear sky
226,Fort Nelson,CA,58.8053,-122.7002,56.26,93,98,4.88,light rain
227,Cidreira,BR,-30.1811,-50.2056,46.4,59,4,17.81,clear sky
228,Champua,IN,22.0833,85.6667,75.09,92,100,8.59,light rain
229,Srivardhan,IN,18.0333,73.0167,80.94,83,100,17.63,overcast clouds
230,Kavieng,PG,-2.5744,150.7967,84.09,73,13,7.09,light rain
231,Tecpan,GT,14.7623,-90.9947,60.12,93,75,3.31,broken clouds
232,Pingliang,CN,35.5392,106.6861,72.45,52,100,1.97,light rain
233,Neryungri,RU,56.6709,124.6491,74.32,57,100,5.68,overcast clouds
234,Yerbogachen,RU,61.2767,108.0108,84.6,37,3,10.74,clear sky
235,Husavik,IS,66.0449,-17.3389,49.82,98,100,9.98,overcast clouds
236,Benguela,AO,-12.5763,13.4055,68.61,87,53,1.63,broken clouds
237,Murgab,TM,37.4966,61.9714,76.87,31,0,11.5,clear sky
238,Flinders,AU,-34.5833,150.8552,73.18,43,65,10.0,broken clouds
239,Vila Velha,BR,-20.3297,-40.2925,73.35,78,0,6.91,clear sky
240,Bilibino,RU,68.0546,166.4372,43.27,78,100,1.07,overcast clouds
241,Atambua,ID,-9.1061,124.8925,85.17,43,69,3.4,broken clouds
242,Lamu,KE,-2.2717,40.902,75.7,80,77,18.23,broken clouds
243,Ambunti,PG,-4.2365,142.8448,88.65,64,47,0.72,scattered clouds
244,Pundaguitan,PH,6.3711,126.1689,84.67,75,48,15.77,scattered clouds
245,Westminster,US,39.8367,-105.0372,87.44,35,20,1.01,few clouds
246,Agustin Codazzi,CO,10.0341,-73.2361,72.16,93,47,4.5,scattered clouds
